"","station","specimenlabelid","sizeclass","preyitemid","preyspeciescode","preyspeciescommon","preyspecieslatin","number","weight_g_py","length_mm_py","lengthtype","piecewhole","comments","length_mm_pd","weight_kg_pd","year","date","count","biomass_kg","season","lat","long","stratum","bottomwatertemp_c","stratumarea_km2"
"30","NM20070901014",5,1,38946,998,"no catch","no catch",NA,NA,NA,"","","",181,0.058,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"31","NM20070901014",2,2,38940,604,"sand shrimp","Crangon septemspinosa",6,0.1152,NA,"","","",325,0.326,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"32","NM20070901014",3,1,38944,604,"sand shrimp","Crangon septemspinosa",2,0.0412,NA,"","","",193,0.068,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"33","NM20070901014",4,1,38945,5000,"unidentified fish","Actinopterygii",NA,NA,NA,"","","MUSH",167,0.046,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"34","NM20070901014",1,2,38939,103,"bay anchovy","Anchoa mitchilli",1,0.1496,NA,"","","OTOLITHS ONLY",339,0.412,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"35","NM20070901014",2,2,38942,103,"bay anchovy","Anchoa mitchilli",1,0.152,35.5,"FL","W","",325,0.326,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"36","NM20070901014",2,2,38941,5000,"unidentified fish","Actinopterygii",1,0.2278,NA,"","","",325,0.326,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"37","NM20070901014",6,1,42741,5000,"unidentified fish","Actinopterygii",1,0.141,NA,"","","mush",148,0.034,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"38","NM20070901014",6,1,42740,604,"sand shrimp","Crangon septemspinosa",2,0.0538,NA,"","","",148,0.034,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"39","NM20070901014",7,1,38947,5000,"unidentified fish","Actinopterygii",1,0.0336,NA,"","","MUSH",160,0.044,2007,"03-Oct-07",533,30.822,"Fall",40.55333333,-73.61166667,"0401",20.67,93.8983
"40","NM20070901015",8,2,38955,5029,"eelgrass","Zostera marina",NA,0.0481,NA,"","","",440,0.752,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"41","NM20070901015",7,2,55999,1028,"longfin inshore squid","Loligo pealeii",1,0.0703,NA,"","","beak only",566,1.734,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"42","NM20070901015",7,2,56005,103,"bay anchovy","Anchoa mitchilli",1,0.1422,31.3,"fl","w","",566,1.734,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"43","NM20070901015",3,1,38949,708,"unidentified material","unidentified material",1,0.0126,NA,"","","BACK BONE ONLY",180,0.062,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"44","NM20070901015",4,1,38952,103,"bay anchovy","Anchoa mitchilli",3,0.3026,NA,"","","",210,0.092,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"45","NM20070901015",2,1,38948,5000,"unidentified fish","Actinopterygii",1,0.2322,NA,"","","MUSH",210,0.11,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"46","NM20070901015",5,1,38953,5000,"unidentified fish","Actinopterygii",1,0.1649,NA,"","","MUSH",218,0.104,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"47","NM20070901015",6,2,38954,103,"bay anchovy","Anchoa mitchilli",1,0.1069,32.5,"FL","W","",530,1.314,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"48","NM20070901015",7,2,56004,103,"bay anchovy","Anchoa mitchilli",1,0.172,35.7,"fl","w","",566,1.734,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"49","NM20070901015",3,1,38950,103,"bay anchovy","Anchoa mitchilli",1,0.2148,37.8,"FL","W","",180,0.062,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"50","NM20070901015",8,2,38958,103,"bay anchovy","Anchoa mitchilli",1,0.1652,33.9,"FL","W","",440,0.752,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"51","NM20070901015",1,1,55998,5000,"unidentified fish","Actinopterygii",1,0.0168,NA,"","","mush",181,0.06,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"52","NM20070901015",4,1,38951,103,"bay anchovy","Anchoa mitchilli",1,0.2555,37.6,"FL","W","",210,0.092,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"53","NM20070901015",8,2,38956,5000,"unidentified fish","Actinopterygii",1,0.1806,NA,"","","",440,0.752,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"54","NM20070901015",8,2,38957,103,"bay anchovy","Anchoa mitchilli",1,0.2012,36.6,"FL","W","",440,0.752,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"55","NM20070901015",8,2,38960,103,"bay anchovy","Anchoa mitchilli",1,0.1646,35.8,"FL","W","",440,0.752,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"56","NM20070901015",8,2,38959,103,"bay anchovy","Anchoa mitchilli",1,0.1445,30.5,"FL","W","",440,0.752,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"57","NM20070901015",7,2,56002,103,"bay anchovy","Anchoa mitchilli",1,0.2013,37.8,"fl","w","",566,1.734,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"58","NM20070901015",7,2,56003,103,"bay anchovy","Anchoa mitchilli",1,0.1707,33.4,"fl","w","",566,1.734,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"59","NM20070901015",7,2,56000,5000,"unidentified fish","Actinopterygii",1,1.0827,NA,"","","bones only",566,1.734,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"60","NM20070901015",7,2,56001,103,"bay anchovy","Anchoa mitchilli",1,0.2241,35.3,"fl","w","",566,1.734,2007,"03-Oct-07",3080,194.712,"Fall",40.5815,-73.38233333,"0402",18.94,170.27
"61","NM20070901016",1,0,38961,103,"bay anchovy","Anchoa mitchilli",3,0.2455,NA,"","","",215,0.104,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"62","NM20070901016",3,0,38968,103,"bay anchovy","Anchoa mitchilli",1,0.1467,36.8,"FL","W","",193,0.068,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"63","NM20070901016",1,0,38964,103,"bay anchovy","Anchoa mitchilli",1,0.1933,36.3,"FL","W","",215,0.104,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"64","NM20070901016",5,0,38971,5001,"unidentified shrimp","Decapoda",1,0.0165,NA,"","","",195,0.072,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"65","NM20070901016",1,0,38962,103,"bay anchovy","Anchoa mitchilli",1,0.1538,34.5,"FL","W","",215,0.104,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"66","NM20070901016",2,0,38966,5000,"unidentified fish","Actinopterygii",1,0.0335,NA,"","","",214,0.094,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"67","NM20070901016",3,0,38969,103,"bay anchovy","Anchoa mitchilli",1,0.4066,46.4,"FL","W","",193,0.068,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"68","NM20070901016",1,0,38965,103,"bay anchovy","Anchoa mitchilli",1,0.1868,37.4,"FL","W","",215,0.104,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"69","NM20070901016",1,0,38963,103,"bay anchovy","Anchoa mitchilli",1,0.3735,44.3,"FL","W","",215,0.104,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"70","NM20070901016",4,0,38970,103,"bay anchovy","Anchoa mitchilli",1,0.2098,38.9,"FL","W","",220,0.09,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"71","NM20070901016",3,0,38967,5006,"vegetation","Plantae",NA,0.0065,NA,"","","",193,0.068,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"72","NM20070901016",5,0,38972,103,"bay anchovy","Anchoa mitchilli",1,0.0933,NA,"","","MUSH",195,0.072,2007,"03-Oct-07",127,8.496,"Fall",40.552,-73.3935,"0402",18.65,170.27
"73","NM20070901017",1,0,38973,103,"bay anchovy","Anchoa mitchilli",2,0.2753,NA,"","","",181,0.066,2007,"03-Oct-07",3,0.216,"Fall",40.50433333,-73.629,"0402",18.01,170.27
"74","NM20070901017",2,0,38974,103,"bay anchovy","Anchoa mitchilli",3,0.8548,NA,"","","MUSH",155,0.044,2007,"03-Oct-07",3,0.216,"Fall",40.50433333,-73.629,"0402",18.01,170.27
"75","NM20070901017",3,0,38975,103,"bay anchovy","Anchoa mitchilli",1,0.4365,NA,"","","",220,0.106,2007,"03-Oct-07",3,0.216,"Fall",40.50433333,-73.629,"0402",18.01,170.27
"76","NM20070901021",3,0,38978,5000,"unidentified fish","Actinopterygii",2,0.5128,NA,"","","",210,0.08,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"77","NM20070901021",5,0,38982,103,"bay anchovy","Anchoa mitchilli",9,2.7615,NA,"","","",175,0.06,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"78","NM20070901021",4,0,38979,636,"four-eyed amphipods (Ampelisca spp.)","Ampelisca spp.",6,0.0105,NA,"","","",186,0.074,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"79","NM20070901021",4,0,38981,103,"bay anchovy","Anchoa mitchilli",5,0.2966,NA,"","","",186,0.074,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"80","NM20070901021",2,0,38977,103,"bay anchovy","Anchoa mitchilli",1,0.2242,NA,"","","",174,0.066,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"81","NM20070901021",4,0,38980,604,"sand shrimp","Crangon septemspinosa",15,0.2217,NA,"","","",186,0.074,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"82","NM20070901021",5,0,38983,103,"bay anchovy","Anchoa mitchilli",1,0.6921,49.8,"TL","P","MISSING HEAD AND TAIL",175,0.06,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"83","NM20070901021",1,0,38976,103,"bay anchovy","Anchoa mitchilli",4,0.966,NA,"","","",188,0.062,2007,"04-Oct-07",233,13.289,"Fall",40.49833333,-73.8575,"0502",19.59,264.8616
"84","NM20070901023",9,1,39002,103,"bay anchovy","Anchoa mitchilli",2,1.4916,NA,"","","",148,0.044,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"85","NM20070901023",8,1,39000,103,"bay anchovy","Anchoa mitchilli",1,0.2898,NA,"","","",157,0.038,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"86","NM20070901023",1,2,38985,103,"bay anchovy","Anchoa mitchilli",4,1.2151,NA,"","","",327,0.338,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"87","NM20070901023",2,2,38986,103,"bay anchovy","Anchoa mitchilli",1,0.3252,43.1,"TL","P","MISSING H AND T",263,0.178,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"88","NM20070901023",3,2,38989,103,"bay anchovy","Anchoa mitchilli",1,1.2454,66.1,"FL","W","",270,0.182,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"89","NM20070901023",3,2,38988,103,"bay anchovy","Anchoa mitchilli",8,2.432,NA,"","","",270,0.182,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"90","NM20070901023",4,2,38992,697,"unidentified bloodworm","Glycera spp.",1,0.5157,NA,"","","",313,0.304,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"91","NM20070901023",6,1,38996,103,"bay anchovy","Anchoa mitchilli",5,2.9037,NA,"","","",190,0.074,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"92","NM20070901023",1,2,38984,636,"four-eyed amphipods (Ampelisca spp.)","Ampelisca spp.",1,0.016,NA,"","","",327,0.338,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"93","NM20070901023",7,1,38998,103,"bay anchovy","Anchoa mitchilli",1,0.4916,55.9,"FL","W","",160,0.052,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"94","NM20070901023",4,2,38990,5000,"unidentified fish","Actinopterygii",5,1.2837,NA,"","","",313,0.304,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"95","NM20070901023",7,1,38999,103,"bay anchovy","Anchoa mitchilli",4,0.1907,NA,"","","",160,0.052,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"96","NM20070901023",10,1,39003,103,"bay anchovy","Anchoa mitchilli",2,1.5912,NA,"","","",148,0.042,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"97","NM20070901023",4,2,38993,612,"lady crab","Ovalipes ocellatus",1,0.0102,3.9,"CW","P","MISSING LEGS AND CLAWS",313,0.304,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"98","NM20070901023",7,1,38997,103,"bay anchovy","Anchoa mitchilli",1,0.5675,54.6,"FL","W","",160,0.052,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"99","NM20070901023",5,2,38995,103,"bay anchovy","Anchoa mitchilli",3,0.8365,NA,"","","",294,0.238,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"100","NM20070901023",4,2,38991,657,"unidentified isopod","Isopoda spp.",1,0.0228,NA,"","","",313,0.304,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"101","NM20070901023",9,1,39001,500,"short-browed mud shrimp","Gilvossius setimanus",2,0.1892,NA,"","","",148,0.044,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"102","NM20070901023",2,2,38987,103,"bay anchovy","Anchoa mitchilli",1,0.6113,45,"TL","P","MISSING H AND T",263,0.178,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"103","NM20070901023",4,2,38994,612,"lady crab","Ovalipes ocellatus",19,0.1093,NA,"","","",313,0.304,2007,"05-Oct-07",177,15.72,"Fall",39.79883333,-74.07366667,"0601",20.45,118.691
"104","NM20070901024",2,3,39004,5000,"unidentified fish","Actinopterygii",1,0.2571,NA,"","","",441,0.814,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"105","NM20070901024",5,2,56014,103,"bay anchovy","Anchoa mitchilli",1,0.6209,NA,"","","",279,0.198,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"106","NM20070901024",8,1,56018,103,"bay anchovy","Anchoa mitchilli",3,0.8196,NA,"","","",172,0.038,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"107","NM20070901024",4,2,39012,699,"mysid","Neomysis americana",124,0.622,NA,"","","",311,0.304,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"108","NM20070901024",10,1,39015,604,"sand shrimp","Crangon septemspinosa",4,0.0503,NA,"","","",141,0.034,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"109","NM20070901024",4,2,39006,529,"fish scales","fish scales",NA,0.0089,NA,"","","",311,0.304,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"110","NM20070901024",4,2,39011,1052,"stomatopod larva","Stomatopoda (larva)",1,0.0093,NA,"","","",311,0.304,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"111","NM20070901024",12,1,39023,103,"bay anchovy","Anchoa mitchilli",1,0.6467,45.1,"TL","P","MISSING H AND T",204,0.1,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"112","NM20070901024",12,1,39021,103,"bay anchovy","Anchoa mitchilli",1,0.3822,43,"TL","P","MISSING H AND T",204,0.1,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"113","NM20070901024",9,1,39014,103,"bay anchovy","Anchoa mitchilli",4,1.3523,NA,"","","",159,0.016,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"114","NM20070901024",1,3,57880,103,"bay anchovy","Anchoa mitchilli",2,0.4564,NA,"","","",402,0.656,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"115","NM20070901024",12,1,39022,103,"bay anchovy","Anchoa mitchilli",1,1.0547,54,"TL","P","MISSING H AND T",204,0.1,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"116","NM20070901024",4,2,39005,1054,"crab megalopa","Decapoda (megalope)",1,0.0071,NA,"","","",311,0.304,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"117","NM20070901024",5,2,56015,500,"short-browed mud shrimp","Gilvossius setimanus",1,0.1664,NA,"","","",279,0.198,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"118","NM20070901024",11,1,39018,699,"mysid","Neomysis americana",71,0.7778,NA,"","","",164,0.06,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"119","NM20070901024",7,2,39013,103,"bay anchovy","Anchoa mitchilli",4,1.5927,NA,"","","",275,0.228,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"120","NM20070901024",3,2,56012,103,"bay anchovy","Anchoa mitchilli",2,1.0695,NA,"","","",334,0.324,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"121","NM20070901024",12,1,39020,103,"bay anchovy","Anchoa mitchilli",1,1.2096,59.6,"TL","P","MISSING H AND T",204,0.1,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"122","NM20070901024",4,2,39010,864,"Atlantic sand crab","Emerita talpoida",1,0.0018,NA,"","","",311,0.304,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"123","NM20070901024",12,1,39019,103,"bay anchovy","Anchoa mitchilli",4,1.0036,NA,"","","",204,0.1,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"124","NM20070901024",5,2,56016,37,"Atlantic menhaden","Brevoortia tyrannus",1,1.9184,NA,"","","mush/bones and gizzard only",279,0.198,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"125","NM20070901024",4,2,39009,708,"unidentified material","unidentified material",1,0.1334,NA,"","","",311,0.304,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"126","NM20070901024",4,2,39008,5001,"unidentified shrimp","Decapoda",1,0.0046,NA,"","","TAIL ONLY",311,0.304,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"127","NM20070901024",11,1,39017,103,"bay anchovy","Anchoa mitchilli",1,0.2448,NA,"","","",164,0.06,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
"128","NM20070901024",6,2,56017,5000,"unidentified fish","Actinopterygii",1,0.1655,NA,"","","mush",266,0.186,2007,"05-Oct-07",551,36.744,"Fall",39.738,-74.09466667,"0601",20.66,118.691
