"","station","pdid","preyspeciescommon","preyspecieslatin","length_mm_pd","weight_kg_pd","year","date","count","biomass_kg","season","lat","long","bottomwatertemp_c","stratumarea_km2","pyamtw","pyamtn","area"
"110","CM20020701065",5,"mysid","Neomysis americana",220,0.084,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.505,144,"CB"
"111","CM20020701065",6,"mysid","Neomysis americana",222,0.092,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.407,117,"CB"
"112","CM20020701065",7,"sand shrimp","Crangon septemspinosa",222,0.11,2002,"13-Jul-02",7,0.489,"July",37.79,-76.19,25.9,217.13388262,0.027,1,"CB"
"113","CM20020701073",1,"mysid","Neomysis americana",208,0.104,2002,"08-Jul-02",2,0.236,"July",36.95,-76.13,25.8,883.98006706,0.039,23,"CB"
"114","CM20020701076",1,"mysid","Neomysis americana",252,0.126,2002,"08-Jul-02",2,0.27,"July",37.12,-76.21,23.8,883.98006706,0.643,272,"CB"
"115","CM20020701076",2,"mysid","Neomysis americana",251,0.144,2002,"08-Jul-02",2,0.27,"July",37.12,-76.21,23.8,883.98006706,0.795,274,"CB"
"116","CM20020701088",1,"mysid","Neomysis americana",188,0.062,2002,"08-Jul-02",3,0.206,"July",36.94,-76,21.6,102.24002981,0.025,19,"CB"
"117","CM20020701088",1,"shell","shell",188,0.062,2002,"08-Jul-02",3,0.206,"July",36.94,-76,21.6,102.24002981,0.001,0,"CB"
"118","CM20020701088",2,"mysid","Neomysis americana",204,0.07,2002,"08-Jul-02",3,0.206,"July",36.94,-76,21.6,102.24002981,0.03,33,"CB"
"119","CM20020701088",2,"sand shrimp","Crangon septemspinosa",204,0.07,2002,"08-Jul-02",3,0.206,"July",36.94,-76,21.6,102.24002981,0.012,1,"CB"
"120","CM20020701088",3,"mysid","Neomysis americana",193,0.074,2002,"08-Jul-02",3,0.206,"July",36.94,-76,21.6,102.24002981,0.027,31,"CB"
"121","CM20020701090",2,"mysid","Neomysis americana",244,0.158,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,0.023,10,"CB"
"122","CM20020701090",3,"mysid","Neomysis americana",209,0.08,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,0.343,93,"CB"
"123","CM20020701090",4,"mysid","Neomysis americana",211,0.076,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,0.639,116,"CB"
"124","CM20020701090",5,"mysid","Neomysis americana",246,0.092,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,0.275,62,"CB"
"125","CM20020701090",6,"bay anchovy","Anchoa mitchilli",199,0.066,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,0.026,1,"CB"
"126","CM20020701090",6,"clam worm (Neanthes succinea)","Neanthes succinea",199,0.066,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,0.002,1,"CB"
"127","CM20020701090",6,"mysid","Neomysis americana",199,0.066,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,1.06,110,"CB"
"128","CM20020701090",6,"unidentified fish","Actinopterygii",199,0.066,2002,"09-Jul-02",8,0.936,"July",37.31,-76.1,24.8,102.24002981,0.029,3,"CB"
"129","CM20020901001",1,"bay anchovy","Anchoa mitchilli",336,0.376,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.092,1,"CB"
"130","CM20020901001",10,"bay anchovy","Anchoa mitchilli",293,0.274,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.19,1,"CB"
"131","CM20020901001",2,"Atlantic menhaden","Brevoortia tyrannus",360,0.48,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,3.878,3,"CB"
"132","CM20020901001",2,"bay anchovy","Anchoa mitchilli",360,0.48,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,1.126,2,"CB"
"133","CM20020901001",2,"isopod (Livoneca redmanii)","Livoneca redmanii",360,0.48,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.02,1,"CB"
"134","CM20020901001",3,"detritus","detritus",340,0.412,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.001,1,"CB"
"135","CM20020901001",3,"fish scales","fish scales",340,0.412,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.005,9,"CB"
"136","CM20020901001",3,"unidentified material","unidentified material",340,0.412,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.022,1,"CB"
"137","CM20020901001",4,"Atlantic menhaden","Brevoortia tyrannus",380,0.588,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,17.934,2,"CB"
"138","CM20020901001",5,"unidentified material","unidentified material",371,0.532,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.04,0,"CB"
"139","CM20020901001",6,"bay anchovy","Anchoa mitchilli",312,0.292,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.101,1,"CB"
"140","CM20020901001",7,"bay anchovy","Anchoa mitchilli",293,0.258,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,1.489,1,"CB"
"141","CM20020901001",7,"isopod (Livoneca redmanii)","Livoneca redmanii",293,0.258,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.015,1,"CB"
"142","CM20020901001",8,"Atlantic menhaden","Brevoortia tyrannus",302,0.256,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.072,1,"CB"
"143","CM20020901001",8,"bay anchovy","Anchoa mitchilli",302,0.256,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.227,6,"CB"
"144","CM20020901001",9,"bay anchovy","Anchoa mitchilli",318,0.33,2002,"16-Sep-02",15,5.208,"September",39.21,-76.36,23.8,431.59886444,0.153,1,"CB"
"145","CM20020901002",1,"Atlantic menhaden","Brevoortia tyrannus",339,0.374,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,5.502,1,"CB"
"146","CM20020901002",1,"baltic macoma clam","Macoma balthica",339,0.374,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,0.217,1,"CB"
"147","CM20020901002",2,"bay anchovy","Anchoa mitchilli",330,0.362,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,0.494,1,"CB"
"148","CM20020901002",3,"Atlantic menhaden","Brevoortia tyrannus",333,0.346,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,4.087,1,"CB"
"149","CM20020901002",4,"isopod (Livoneca redmanii)","Livoneca redmanii",317,0.286,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,0.026,1,"CB"
"150","CM20020901002",5,"Atlantic menhaden","Brevoortia tyrannus",377,0.502,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,0.136,1,"CB"
"151","CM20020901002",6,"no catch","no catch",121,0.02,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,0,0,"CB"
"152","CM20020901002",7,"bay anchovy","Anchoa mitchilli",130,0.024,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,0.163,3,"CB"
"153","CM20020901002",8,"bay anchovy","Anchoa mitchilli",114,0.014,2002,"16-Sep-02",16,4.92,"September",39.19,-76.41,23.95,431.59886444,0.032,1,"CB"
"154","CM20020901003",1,"unidentified material","unidentified material",294,0.246,2002,"16-Sep-02",1,0.246,"September",39.21,-76.32,23.79,431.59886444,0.106,0,"CB"
"155","CM20020901007",5,"Atlantic menhaden","Brevoortia tyrannus",148,0.034,2002,"16-Sep-02",5,1.166,"September",39.23,-76.36,23.87,431.59886444,11.84,1,"CB"
"156","CM20020901008",1,"bay anchovy","Anchoa mitchilli",82,0.006,2002,"16-Sep-02",10,0.064,"September",39.12,-76.31,23.84,103.20896873,0.257,3,"CB"
"157","CM20020901008",2,"bay anchovy","Anchoa mitchilli",107,0.01,2002,"16-Sep-02",10,0.064,"September",39.12,-76.31,23.84,103.20896873,0.291,2,"CB"
"158","CM20020901008",3,"bay anchovy","Anchoa mitchilli",75,0.006,2002,"16-Sep-02",10,0.064,"September",39.12,-76.31,23.84,103.20896873,0.034,1,"CB"
"159","CM20020901008",4,"bay anchovy","Anchoa mitchilli",84,0.006,2002,"16-Sep-02",10,0.064,"September",39.12,-76.31,23.84,103.20896873,0.3,1,"CB"
"160","CM20020901008",5,"bay anchovy","Anchoa mitchilli",68,0.004,2002,"16-Sep-02",10,0.064,"September",39.12,-76.31,23.84,103.20896873,0.016,1,"CB"
"161","CM20020901009",1,"no catch","no catch",44,0.002,2002,"15-Sep-02",3,0.018,"September",38.98,-76.39,24.34,103.20896873,0,0,"CB"
"162","CM20020901009",2,"unidentified material","unidentified material",91,0.01,2002,"15-Sep-02",3,0.018,"September",38.98,-76.39,24.34,103.20896873,0.004,1,"CB"
